source,source_id,company,title,url,initial_decision,final_decision,verification_status,confidence,florida_eligible,remote_status,employment_type,salary_min,salary_max,travel_percentage,clearance_required,sponsorship_status,evidence,unresolved,verified_at
lever,efb61670-991d-458e-8475-d34f78bf5a12,Agile Defense,Program Manager,https://jobs.lever.co/agile-defense/efb61670-991d-458e-8475-d34f78bf5a12,verify,verify,partial,0.61,,onsite,contract,,,,True,,Posting indicates non-full-time employment. | Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.905851+00:00
lever,1dd32b04-f586-4dc4-a228-0369fd2b59f5,Agile Defense,Program Manager (CBP),https://jobs.lever.co/agile-defense/1dd32b04-f586-4dc4-a228-0369fd2b59f5,verify,verify,partial,0.59,,hybrid,contract,,,,,,Posting indicates non-full-time employment.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.907075+00:00
lever,fa3b2c6b-44be-4f70-b9ec-ba9cfa51193f,Agile Defense,"Program Managers, Deputy Program Managers, Senior Project Managers & Project Managers (CBP)",https://jobs.lever.co/agile-defense/fa3b2c6b-44be-4f70-b9ec-ba9cfa51193f,verify,verify,partial,0.71,,hybrid,full-time,,,,,,Posting explicitly identifies full-time employment.,florida_eligibility | compensation,2026-08-31T12:36:58.908485+00:00
lever,446e948b-bbb6-4784-86ed-a930d7dacd9e,Agile Defense,"Sales Engineer, Embedded AI",https://jobs.lever.co/agile-defense/446e948b-bbb6-4784-86ed-a930d7dacd9e,verify,verify,partial,0.59,,hybrid,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.909559+00:00
lever,b86ead18-1ef0-4847-a59a-b7e951d4de94,Agile Defense,Security Analyst,https://jobs.lever.co/agile-defense/b86ead18-1ef0-4847-a59a-b7e951d4de94,verify,verify,partial,0.59,,onsite,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.910424+00:00
lever,e0b58e19-4582-4a0f-8820-b9f21bb37a89,Agile Defense,Security Engineer,https://jobs.lever.co/agile-defense/e0b58e19-4582-4a0f-8820-b9f21bb37a89,verify,verify,unresolved,0.57,,onsite,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.911689+00:00
lever,04782e8c-bb50-4f87-a473-7d63dbacca45,Agile Defense,Security Operations Center Manager (CBP),https://jobs.lever.co/agile-defense/04782e8c-bb50-4f87-a473-7d63dbacca45,verify,verify,unresolved,0.69,,hybrid,regular,155000,185000,,,,,florida_eligibility | employment_type,2026-08-31T12:36:58.913294+00:00
lever,bb23e7f5-8e40-4b72-bf2c-d0f51cff71a4,Agile Defense,Senior Acquisition SME — Mission Modernization,https://jobs.lever.co/agile-defense/bb23e7f5-8e40-4b72-bf2c-d0f51cff71a4,verify,verify,unresolved,0.57,,onsite,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.914759+00:00
lever,294c9881-e0ca-4dea-970a-5c58160e33ff,Agile Defense,Senior Defense Capture Manager (Air Force),https://jobs.lever.co/agile-defense/294c9881-e0ca-4dea-970a-5c58160e33ff,verify,verify,partial,0.59,,remote,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.915782+00:00
lever,648530fa-0a30-4281-b434-2772e29bcdaf,Agile Defense,Senior Defense Capture Manager (Army),https://jobs.lever.co/agile-defense/648530fa-0a30-4281-b434-2772e29bcdaf,verify,verify,partial,0.59,,remote,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.916730+00:00
lever,2daa1c73-b85c-4ab3-9c08-1fa0b71295af,Agile Defense,Senior DHS Capture Manager,https://jobs.lever.co/agile-defense/2daa1c73-b85c-4ab3-9c08-1fa0b71295af,verify,verify,partial,0.59,,remote,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.917702+00:00
lever,f7b4a22c-6fe0-4fa6-9c87-d6399b87fb41,Agile Defense,Senior Hardware/Software Installation Technician,https://jobs.lever.co/agile-defense/f7b4a22c-6fe0-4fa6-9c87-d6399b87fb41,verify,verify,partial,0.59,,remote,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.918718+00:00
lever,3ab99c36-1431-4176-ac95-baa2e3f981eb,Agile Defense,Senior Hardware/Software Installation Technician (Survey Team Lead),https://jobs.lever.co/agile-defense/3ab99c36-1431-4176-ac95-baa2e3f981eb,verify,verify,partial,0.59,,remote,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.919764+00:00
lever,441b155c-f843-4767-b216-d0b709207dd7,Agile Defense,Senior Solutions Architect,https://jobs.lever.co/agile-defense/441b155c-f843-4767-b216-d0b709207dd7,verify,verify,partial,0.83,,remote,full-time,180000,200000,,,,Posting explicitly identifies full-time employment.,florida_eligibility,2026-08-31T12:36:58.921101+00:00
lever,fa51c167-591b-4b68-b9b1-2b27a0d76930,Agile Defense,Senior Technical Lead — Mission Engineering,https://jobs.lever.co/agile-defense/fa51c167-591b-4b68-b9b1-2b27a0d76930,verify,verify,partial,0.59,,onsite,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.922567+00:00
lever,3effb9ac-ff91-495c-ac70-2bf0de1cf8d9,Agile Defense,Senior Video Producer,https://jobs.lever.co/agile-defense/3effb9ac-ff91-495c-ac70-2bf0de1cf8d9,verify,verify,unresolved,0.57,,remote,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.923740+00:00
lever,d5c2668f-79c8-4c1d-8c09-ed7e115653c1,Agile Defense,SharePoint Administrator III,https://jobs.lever.co/agile-defense/d5c2668f-79c8-4c1d-8c09-ed7e115653c1,verify,verify,unresolved,0.57,,remote,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.924587+00:00
lever,10edd8dc-7bb2-4005-8e10-917713c101ba,Agile Defense,SharePoint Developer II,https://jobs.lever.co/agile-defense/10edd8dc-7bb2-4005-8e10-917713c101ba,verify,verify,unresolved,0.57,,remote,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.925401+00:00
lever,4d5254dd-8366-4983-9156-a7f989fea964,Agile Defense,Software Developer I,https://jobs.lever.co/agile-defense/4d5254dd-8366-4983-9156-a7f989fea964,verify,verify,partial,0.59,,hybrid,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.926194+00:00
lever,a65bd26e-7b3e-4a95-b57d-5d722ced8176,Agile Defense,Software Engineer III,https://jobs.lever.co/agile-defense/a65bd26e-7b3e-4a95-b57d-5d722ced8176,verify,verify,partial,0.59,,onsite,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.926900+00:00
lever,c7ce7e99-5070-433c-8b53-5ffab6ae82b5,Agile Defense,"Software Engineering Lead (Java, OpenFGA)",https://jobs.lever.co/agile-defense/c7ce7e99-5070-433c-8b53-5ffab6ae82b5,verify,verify,unresolved,0.57,,hybrid,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.927705+00:00
lever,4e73ee21-938a-4594-99e7-55026b711583,Agile Defense,Software/CNO Developer,https://jobs.lever.co/agile-defense/4e73ee21-938a-4594-99e7-55026b711583,verify,verify,unresolved,0.57,,onsite,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.928530+00:00
lever,33a8adb7-aed0-4e7f-86dd-2738b8ef55fb,Agile Defense,Splunk Architect Lead (CBP),https://jobs.lever.co/agile-defense/33a8adb7-aed0-4e7f-86dd-2738b8ef55fb,verify,verify,partial,0.71,,hybrid,regular,175000,225000,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type,2026-08-31T12:36:58.929437+00:00
lever,2badfa4c-a2fa-46b5-940c-e86b7d0f0b31,Agile Defense,System Administrator (Intermediate),https://jobs.lever.co/agile-defense/2badfa4c-a2fa-46b5-940c-e86b7d0f0b31,verify,verify,partial,0.59,,onsite,contract,,,,,,Posting indicates non-full-time employment.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.930672+00:00
lever,9b9c06b5-d902-4d0c-b520-fad21af395e6,Agile Defense,System Administrator (TTC) I,https://jobs.lever.co/agile-defense/9b9c06b5-d902-4d0c-b520-fad21af395e6,verify,verify,partial,0.61,,onsite,contract,,,10,,,Posting indicates non-full-time employment. | Posting states up to 10% travel.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.931686+00:00
lever,75c44799-f4fe-47ac-bf05-a68b0e545c15,Agile Defense,System Administrator I,https://jobs.lever.co/agile-defense/75c44799-f4fe-47ac-bf05-a68b0e545c15,verify,verify,partial,0.59,,onsite,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.932594+00:00
lever,7798d63a-674f-4e35-829c-3852505c40bc,Agile Defense,System Engineer (MBSE),https://jobs.lever.co/agile-defense/7798d63a-674f-4e35-829c-3852505c40bc,verify,verify,unresolved,0.57,,hybrid,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.933613+00:00
lever,966ffd4d-e8a6-4775-840e-8e263b4a4921,Agile Defense,Tactical Data link (TDL) Test & Evaluation Analyst - Intermediate,https://jobs.lever.co/agile-defense/966ffd4d-e8a6-4775-840e-8e263b4a4921,verify,verify,partial,0.61,,onsite,contract,,,10,,,Posting indicates non-full-time employment. | Posting states up to 10% travel.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.934751+00:00
